NIS code;Woonplaats;Mannen;Vrouwen;Totaal
57095;Mont-de-l’Enclus;1.915;1.874;3.789
57096;Moeskroen;28.521;30.246;58.767
57097;Komen-Waasten;8.818;9.240;18.058
58000;Arrondissement La Louvière;68.546;72.924;141.470
58001;La Louvière;39.410;41.728;81.138
58002;Binche;16.038;17.410;33.448
58003;Estinnes;3.846;3.913;7.759
58004;Morlanwelz;9.252;9.873;19.125
60000;Provincie Luik;543.373;566.427;1.109.800
61000;Arrondissement Hoei;55.984;57.885;113.869
61003;Amay;7.004;7.402;14.406
61010;Burdinne;1.654;1.643;3.297
61012;Clavier;2.274;2.368;4.642
61019;Ferrières;2.534;2.472;5.006
61024;Hamoir;1.926;1.920;3.846
61028;Héron;2.719;2.757;5.476
61031;Hoei;10.286;10.952;21.238
61039;Marchin;2.681;2.760;5.441
61041;Modave;2.121;2.098;4.219
61043;Nandrin;2.814;2.944;5.758
61048;Ouffet;1.371;1.426;2.797
61063;Verlaine;2.133;2.144;4.277
61068;Villers-Le-Bouillet;3.229;3.364;6.593
61072;Wanze;6.751;6.980;13.731
61079;Anthisnes;2.067;2.131;4.198
61080;Engis;3.083;3.126;6.209
61081;Tinlot;1.337;1.398;2.735
62000;Arrondissement Luik;305.155;320.610;625.765
62003;Ans;13.678;14.920;28.598
62006;Awans;4.430;4.813;9.243
62009;Aywaille;6.135;6.259;12.394
62011;Bitsingen;4.435;4.496;8.931
62015;Beyne-Heusay;5.719;6.172;11.891
62022;Chaudfontaine;9.992;10.863;20.855
62026;Comblain-au-Pont;2.612;2.784;5.396
62027;Dalhem;3.710;3.807;7.517
62032;Esneux;6.331;6.684;13.015
62038;Fléron;7.733;8.637;16.370
62051;Herstal;19.456;20.734;40.190
62060;Juprelle;4.691;4.744;9.435
62063;Luik;97.673;99.544;197.217
62079;Oupeye;12.349;13.095;25.444
62093;Saint-Nicolas (Luik);11.692;12.637;24.329
62096;Seraing;30.961;33.231;64.192
62099;Soumagne;8.282;8.758;17.040
62100;Sprimont;7.201;7.708;14.909
62108;Wezet;8.654;9.272;17.926
62118;Grâce-Hollogne;11.218;11.605;22.823
62119;Blegny;6.567;6.820;13.387
62120;Flémalle;12.698;13.691;26.389
62121;Neupré;4.878;5.099;9.977
62122;Trooz;4.060;4.237;8.297
63000;Arrondissement Verviers;142.245;146.032;288.277
63001;Amel;2.821;2.665;5.486
63003;Aubel;2.080;2.166;4.246
63004;Baelen;2.250;2.237;4.487
63012;Büllingen;2.811;2.645;5.456
63013;Bütgenbach;2.846;2.783;5.629
63020;Dison;7.516;7.739;15.255
63023;Eupen;9.679;10.083;19.762
63035;Herve;8.558;9.062;17.620
63038;Jalhay;4.349;4.379;8.728
63040;Kelmis;5.498;5.714;11.212
