city,nis,date,delta,total
Boechout,11004,2020-04-09,0,21
Boechout,11004,2020-04-10,0,21
Boechout,11004,2020-04-11,2,23
Boechout,11004,2020-04-12,1,24
Boechout,11004,2020-04-13,0,24
Boechout,11004,2020-04-14,0,24
Boechout,11004,2020-04-15,1,25
Boechout,11004,2020-04-16,0,25
Boechout,11004,2020-04-17,0,25
Boechout,11004,2020-04-18,0,25
Boechout,11004,2020-04-19,0,25
Boechout,11004,2020-04-20,1,26
Boechout,11004,2020-04-21,1,27
Boechout,11004,2020-04-22,1,28
Boechout,11004,2020-04-23,1,29
Boechout,11004,2020-04-24,0,29
Boechout,11004,2020-04-25,0,29
Boechout,11004,2020-04-26,0,29
Boechout,11004,2020-04-27,0,29
Boechout,11004,2020-04-28,0,29
Boechout,11004,2020-04-29,0,29
Boechout,11004,2020-04-30,0,29
Boechout,11004,2020-05-01,2,31
Boechout,11004,2020-05-02,0,31
Boechout,11004,2020-05-03,1,32
Boechout,11004,2020-05-04,0,32
Boechout,11004,2020-05-05,1,33
Boechout,11004,2020-05-06,0,33
Boechout,11004,2020-05-07,1,34
Boechout,11004,2020-05-08,0,34
Boechout,11004,2020-05-09,0,34
Boechout,11004,2020-05-10,0,34
Boechout,11004,2020-05-11,0,34
Boechout,11004,2020-05-12,0,34
Boechout,11004,2020-05-13,0,34
Boechout,11004,2020-05-14,0,34
Boechout,11004,2020-05-15,0,34
Boechout,11004,2020-05-16,1,35
Boechout,11004,2020-05-17,3,38
Boechout,11004,2020-05-18,0,38
Boechout,11004,2020-05-19,0,38
Boechout,11004,2020-05-20,0,38
Boechout,11004,2020-05-21,0,38
Boechout,11004,2020-05-22,0,38
Boechout,11004,2020-05-23,0,38
Boechout,11004,2020-05-24,0,38
Boechout,11004,2020-05-25,1,39
Boechout,11004,2020-05-26,0,39
Boechout,11004,2020-05-27,0,39
Boechout,11004,2020-05-28,0,39
Boechout,11004,2020-05-29,1,40
Boechout,11004,2020-05-30,0,40
Boechout,11004,2020-05-31,1,41
Boechout,11004,2020-06-01,0,41
Boechout,11004,2020-06-02,1,42
Boechout,11004,2020-06-03,0,42
Boechout,11004,2020-06-04,0,42
Boechout,11004,2020-06-05,0,42
Boechout,11004,2020-06-06,0,42
Boechout,11004,2020-06-07,0,42
Boechout,11004,2020-06-08,0,42
Boechout,11004,2020-06-09,0,42
Boechout,11004,2020-06-10,0,42
Boechout,11004,2020-06-11,0,42
Boechout,11004,2020-06-12,0,42
Boechout,11004,2020-06-13,0,42
Boechout,11004,2020-06-14,0,42
Boechout,11004,2020-06-15,1,43
Boechout,11004,2020-06-16,0,43
Boechout,11004,2020-06-17,0,43
Boechout,11004,2020-06-18,0,43
Boechout,11004,2020-06-19,0,43
Boechout,11004,2020-06-20,0,43
Boechout,11004,2020-06-23,0,43
Boechout,11004,2020-06-24,0,43
Boechout,11004,2020-06-25,0,43
Boechout,11004,2020-06-26,0,43
Boechout,11004,2020-06-27,0,43
Boechout,11004,2020-06-30,0,43
Boechout,11004,2020-07-01,0,43
Boechout,11004,2020-07-02,0,43
Boechout,11004,2020-07-03,0,43
Boechout,11004,2020-07-04,0,43
Boechout,11004,2020-07-07,0,43
Boechout,11004,2020-07-08,0,43
Boechout,11004,2020-07-09,0,43
Boechout,11004,2020-07-10,0,43
Boechout,11004,2020-07-11,0,43
Boechout,11004,2020-07-14,0,43
Boechout,11004,2020-07-15,0,43
Boechout,11004,2020-07-16,0,43
Boechout,11004,2020-07-17,0,43
Boechout,11004,2020-07-18,1,44
Boechout,11004,2020-07-20,0,44
Boechout,11004,2020-07-21,0,44
Boechout,11004,2020-07-22,0,44
Boechout,11004,2020-07-23,0,44
Boechout,11004,2020-07-24,0,44
Boechout,11004,2020-07-25,0,44
Boechout,11004,2020-07-26,4,48
Boechout,11004,2020-07-27,0,48
Boechout,11004,2020-07-28,2,50
Boechout,11004,2020-07-29,0,50
Boechout,11004,2020-07-30,1,51
Boechout,11004,2020-07-31,0,51
Boechout,11004,2020-08-01,0,51
Boechout,11004,2020-08-02,0,51
Boechout,11004,2020-08-03,0,51
Boechout,11004,2020-08-04,1,52
Boechout,11004,2020-08-05,1,53
Boechout,11004,2020-08-06,0,53
Boechout,11004,2020-08-07,4,57
Boechout,11004,2020-08-08,0,57
Boechout,11004,2020-08-09,0,57
Boechout,11004,2020-08-10,4,61
Boechout,11004,2020-08-11,0,61
Boechout,11004,2020-08-12,0,61
Boechout,11004,2020-08-13,0,61
Boechout,11004,2020-08-14,0,61
Boechout,11004,2020-08-15,0,61
Boechout,11004,2020-08-16,0,61
Boechout,11004,2020-08-17,0,61
Boechout,11004,2020-08-18,0,61
Boechout,11004,2020-08-19,0,61
Boechout,11004,2020-08-20,0,61
Boechout,11004,2020-08-21,1,62
Boechout,11004,2020-08-22,0,62
Boechout,11004,2020-08-23,0,62
Boechout,11004,2020-08-24,1,63
Boechout,11004,2020-08-25,0,63
Boechout,11004,2020-08-26,0,63
Boechout,11004,2020-08-27,1,64
Boechout,11004,2020-08-28,0,64
Boechout,11004,2020-08-29,0,64
Boechout,11004,2020-08-30,0,64
Boechout,11004,2020-08-31,0,64
Boechout,11004,2020-09-01,1,65
Boechout,11004,2020-09-02,0,65
Boechout,11004,2020-09-03,2,67
Boechout,11004,2020-09-04,1,68
Boechout,11004,2020-09-05,0,68
Boechout,11004,2020-09-06,0,68
Boechout,11004,2020-09-07,0,68
Boechout,11004,2020-09-08,0,68
Boechout,11004,2020-09-09,0,68
Boechout,11004,2020-09-10,1,69
Boechout,11004,2020-09-11,1,70
Boechout,11004,2020-09-12,0,70
Boechout,11004,2020-09-13,1,71
Boechout,11004,2020-09-14,0,71
Boechout,11004,2020-09-15,0,71
Boechout,11004,2020-09-16,3,74
Boechout,11004,2020-09-17,0,74
Boechout,11004,2020-09-18,1,75
Boechout,11004,2020-09-19,1,76
Boechout,11004,2020-09-20,1,77
Boechout,11004,2020-09-21,1,78
Boechout,11004,2020-09-22,0,78
Boechout,11004,2020-09-23,1,79
Boechout,11004,2020-09-24,1,80
Boechout,11004,2020-09-25,6,86
Boechout,11004,2020-09-26,0,86
Boechout,11004,2020-09-27,2,88
Boechout,11004,2020-09-28,2,90
Boechout,11004,2020-09-29,0,90
Boechout,11004,2020-09-30,3,93
Boechout,11004,2020-10-01,1,94
Boechout,11004,2020-10-02,2,96
Boechout,11004,2020-10-03,1,97
Boechout,11004,2020-10-04,0,97
Boechout,11004,2020-10-05,1,98
Boechout,11004,2020-10-06,1,99
Boechout,11004,2020-10-07,1,100
Boechout,11004,2020-10-08,1,101
Boechout,11004,2020-10-09,4,105
Boechout,11004,2020-10-10,3,108
Boechout,11004,2020-10-11,1,109
Boechout,11004,2020-10-12,4,113
Boechout,11004,2020-10-13,3,116
Boechout,11004,2020-10-14,7,123
Boechout,11004,2020-10-15,1,124
Boechout,11004,2020-10-16,5,129
Boechout,11004,2020-10-17,0,129
Boechout,11004,2020-10-18,8,137
Boechout,11004,2020-10-19,6,143
Boechout,11004,2020-10-20,6,149
Boechout,11004,2020-10-21,6,155
Boechout,11004,2020-10-22,2,157
Boechout,11004,2020-10-23,7,164
Boechout,11004,2020-10-24,10,174
Boechout,11004,2020-10-25,16,190
Boechout,11004,2020-10-26,11,201
Boechout,11004,2020-10-27,13,214
Boechout,11004,2020-10-28,8,222
Boechout,11004,2020-10-29,10,232
Boechout,11004,2020-10-30,11,243
Boechout,11004,2020-10-31,8,251
Boechout,11004,2020-11-01,4,255
Boechout,11004,2020-11-02,6,261
Boechout,11004,2020-11-03,3,264
Boechout,11004,2020-11-04,11,275
Boechout,11004,2020-11-05,7,282
Boechout,11004,2020-11-06,2,284
Boechout,11004,2020-11-07,6,290
Boechout,11004,2020-11-08,4,294
Boechout,11004,2020-11-09,5,299
Boechout,11004,2020-11-10,1,300
Boechout,11004,2020-11-11,1,301
Boom,11005,2020-04-01,1,23
Boom,11005,2020-04-02,3,26
Boom,11005,2020-04-03,3,29
Boom,11005,2020-04-04,1,30
Boom,11005,2020-04-05,5,35
Boom,11005,2020-04-06,1,36
Boom,11005,2020-04-07,0,36
Boom,11005,2020-04-08,1,37
Boom,11005,2020-04-09,2,39
Boom,11005,2020-04-10,2,41
Boom,11005,2020-04-11,11,52
Boom,11005,2020-04-12,5,57
Boom,11005,2020-04-13,0,57
Boom,11005,2020-04-14,0,57
Boom,11005,2020-04-15,3,60
Boom,11005,2020-04-16,2,62
Boom,11005,2020-04-17,0,62
Boom,11005,2020-04-18,3,65
Boom,11005,2020-04-19,1,66
Boom,11005,2020-04-20,0,66
Boom,11005,2020-04-21,1,67
Boom,11005,2020-04-22,2,69
Boom,11005,2020-04-23,0,69
Boom,11005,2020-04-24,0,69
Boom,11005,2020-04-25,0,69
Boom,11005,2020-04-26,2,71
Boom,11005,2020-04-27,0,71
Boom,11005,2020-04-28,0,71
Boom,11005,2020-04-29,0,71
Boom,11005,2020-04-30,1,72
Boom,11005,2020-05-01,0,72
